STREET_ID,DATE_ID,date,year,quarter,month,ZONE_ID,zone,CRIME_ID,crime,type,NPU_ID,npu,number
70,2371,2015-06-29,2015,2,June,41,2,47,BURGLARY-RESIDENCE,shop,41,E,151801822
71,180,2009-06-29,2009,2,June,48,2,4,LARCENY-FROM VEHICLE,house_number,42,B,91801461
72,93,2009-04-03,2009,2,April,31,5,1,LARCENY-NON VEHICLE,house_number,52,M,90931120
72,150,2009-05-30,2009,2,May,31,5,4,LARCENY-FROM VEHICLE,house_number,52,M,91501092
72,737,2011-01-07,2011,1,January,31,5,4,LARCENY-FROM VEHICLE,house_number,52,M,110070287
72,749,2011-01-19,2011,1,January,31,5,6,BURGLARY-NONRES,house_number,52,M,110190344
72,1776,2013-11-11,2013,4,November,31,5,1,LARCENY-NON VEHICLE,house_number,52,M,133152041
72,1856,2014-01-30,2014,1,January,31,5,6,BURGLARY-NONRES,house_number,52,M,140300511
73,2032,2014-07-25,2014,3,July,49,5,5,LARCENY-FROM VEHICLE,building,33,M,142060987
74,39,2009-02-08,2009,1,February,47,4,6,BURGLARY-NONRES,house_number,53,P,90391642
74,1199,2012-04-13,2012,2,April,22,4,17,AUTO THEFT,road,153,P,121041479
74,1626,2013-06-14,2013,2,June,22,4,1,LARCENY-NON VEHICLE,house_number,135,P,131650996
74,2713,2016-06-05,2016,2,June,22,4,53,ROBBERY-RESIDENCE,road,153,P,161570956
75,308,2009-11-04,2009,4,November,40,5,4,LARCENY-FROM VEHICLE,house_number,33,M,93081300
75,922,2011-07-11,2011,3,July,77,5,24,AGG ASSAULT,amenity,33,M,111920689
75,1909,2014-03-24,2014,1,March,40,5,4,LARCENY-FROM VEHICLE,house_number,33,M,140832413
76,421,2010-02-25,2010,1,February,50,3,3,BURGLARY-RESIDENCE,house_number,54,V,100560877
76,736,2011-01-06,2011,1,January,50,3,3,BURGLARY-RESIDENCE,house_number,54,V,110061339
76,2207,2015-01-16,2015,1,January,50,3,3,BURGLARY-RESIDENCE,house_number,54,V,150160220
77,13,2009-01-13,2009,1,January,51,2,18,LARCENY-NON VEHICLE,shop,51,D,90131436
77,135,2009-05-15,2009,2,May,51,2,18,LARCENY-NON VEHICLE,shop,51,D,91351688
77,297,2009-10-24,2009,4,October,51,2,18,LARCENY-NON VEHICLE,shop,51,D,92971628
77,307,2009-11-03,2009,4,November,51,2,18,LARCENY-NON VEHICLE,shop,51,D,93051421
77,396,2010-01-31,2010,1,January,51,2,18,LARCENY-NON VEHICLE,shop,51,D,100302074
